# Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
22,monday,young,female,junior high,employee,veteran,truck,owner,unknown,no,office,oneway,tangent flat,y shape,asphalt,wet,lights,raining,animal,2,3,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,distance,serious
22,monday,young,male,junior high,owner,experienced,bus,owner,unknown,no,office,undivided,tangent flat,y shape,asphalt,wet,lights,raining,animal,2,3,straight,unknown,unknown,unknown,unknown,driver,normal,none,backward,slight
22,monday,young,male,elementary,employee,intermediate,bus,owner,unknown,no,office,other,tangent flat,y shape,asphalt,wet,lights,raining,animal,2,3,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change right,serious
22,monday,young,male,junior high,employee,intermediate,unknown,owner,aged,no,residential,other,tangent flat,y shape,asphalt,wet,lights,raining,animal,2,3,backward,unknown,unknown,unknown,unknown,unemployed,normal,none,pedestrian violation,slight
8,tuesday,young,male,junior high,employee,novice,truck,owner,old,no,residential,oneway,tangent flat,y shape,asphalt,dry,daylight,normal,animal,2,1,straight,driver,male,minor,3,driver,normal,none,backward,serious
8,tuesday,minor,male,junior high,employee,intermediate,truck,owner,unknown,no,other,oneway,tangent flat,y shape,asphalt,dry,daylight,normal,animal,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,improper exit,slight
15,thursday,young,male,junior high,employee,intermediate,truck,owner,old,no,church,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,animal,1,1,backward,driver,male,young,3,driver,normal,none,overtaking,serious
12,thursday,young,male,elementary,employee,experienced,truck,owner,unknown,no,recreational,other,tangent flat,y shape,asphalt,dry,daylight,normal,other,2,1,exiting,passenger,female,adult,3,driver,normal,none,overloading,serious
12,thursday,adult,male,junior high,employee,veteran,bus,owner,unknown,unknown,industrial,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,rollover,2,1,backward,passenger,male,young,3,employee,normal,none,lane change right,serious
18,wednesday,young,male,junior high,employee,intermediate,car,owner,aged,no,residential,other,tangent rolling,crossing,asphalt,dry,daylight,normal,rollover,2,3,straight,driver,female,adult,3,self-employed,normal,none,other,slight
18,wednesday,young,unknown,junior high,employee,experienced,unknown,owner,used,no,office,double carriageway,tangent flat,crossing,asphalt,dry,daylight,normal,animal,2,3,straight,pedestrian,male,minor,3,driver,normal,nearside crossing blocked,lane change left,slight
14,friday,young,male,higher education,employee,intermediate,car,owner,used,no,market,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,animal,1,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change right,slight
12,tuesday,young,male,unknown,employee,junior,truck,owner,unknown,no,industrial,other,tangent flat,no junction,asphalt,dry,daylight,normal,fall,2,1,straight,driver,male,young,2,driver,normal,none,speeding,slight
15,monday,young,male,junior high,employee,intermediate,car,owner,unknown,no,residential,twoway solid lines,tangent flat,crossing,asphalt,dry,daylight,normal,parked vehicle,1,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,lane change left,slight
18,thursday,young,male,junior high,employee,veteran,car,governmental,new,no,residential,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,parked vehicle,1,1,backward,driver,male,young,3,driver,unknown,none,priority violation,slight
15,thursday,young,male,junior high,employee,novice,truck,owner,old,no,other,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,rollover,2,1,backward,passenger,female,young,3,unknown,normal,none,lane change right,slight
15,thursday,adult,unknown,junior high,employee,intermediate,car,governmental,unknown,no,residential,other,tangent flat,no junction,asphalt,dry,daylight,normal,animal,2,1,rollover,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
13,saturday,senior,male,junior high,employee,novice,car,owner,recent,no,village,undivided,curve,o shape,asphalt,dry,daylight,normal,animal,2,1,straight,driver,female,young,3,driver,normal,none,pedestrian violation,slight
13,saturday,young,male,high school,employee,experienced,car,owner,used,no,village,undivided,curve,o shape,asphalt,dry,daylight,normal,fall,2,1,straight,pedestrian,male,minor,3,driver,normal,unknown,distance,slight
20,friday,young,male,higher education,employee,junior,car,owner,unknown,no,office,double carriageway,tangent flat,crossing,asphalt,dry,lights,normal,parked vehicle,2,2,straight,unknown,unknown,unknown,unknown,driver,normal,none,priority violation,slight
20,friday,senior,male,junior high,employee,novice,unknown,owner,used,no,residential,undivided,curve,crossing,asphalt,dry,lights,normal,animal,2,2,straight,driver,female,young,2,driver,normal,none,other,slight
20,friday,senior,male,unknown,unknown,unknown,unknown,owner,unknown,unknown,residential,other,tangent flat,crossing,asphalt,dry,lights,normal,animal,2,2,straight,unknown,unknown,unknown,unknown,driver,normal,none,careless,slight
16,sunday,senior,male,high school,employee,novice,car,owner,unknown,yes,rural,other,tangent flat,no junction,asphalt,dry,daylight,normal,pedestrian,2,1,straight,driver,female,young,3,employee,normal,none,lane change left,slight
16,sunday,adult,male,high school,employee,novice,pickup,owner,aged,unknown,residential,other,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,unknown,normal,none,careless,slight
21,sunday,adult,male,unknown,unknown,unknown,unknown,owner,old,yes,church,other,tangent flat,no junction,asphalt,dry,lights,normal,vehicle,2,2,straight,driver,female,adult,3,driver,normal,none,lane change left,slight
21,sunday,young,male,high school,employee,intermediate,car,owner,unknown,no,office,undivided,tangent flat,no junction,asphalt,dry,lights,normal,pedestrian,2,2,straight,driver,male,young,3,unknown,unknown,none,priority violation,slight
9,wednesday,young,male,junior high,employee,veteran,bus,owner,unknown,no,office,twoway broken lines,tangent mountain,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,pedestrian,male,minor,3,self-employed,normal,nearside crossing blocked,distance,slight
9,wednesday,young,male,junior high,employee,veteran,bus,governmental,unknown,no,office,twoway broken lines,escarpment,y shape,gravel,dry,daylight,normal,roadside object,2,1,straight,driver,male,minor,3,unknown,unknown,none,lane change right,slight
14,friday,adult,male,junior high,employee,experienced,truck,owner,used,unknown,other,undivided,tangent mountain,y shape,asphalt,dry,daylight,normal,vehicle,1,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,lane change right,serious
10,friday,adult,male,junior high,employee,junior,car,owner,used,unknown,other,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,high speed,slight
10,friday,adult,male,unknown,employee,novice,horse,owner,unknown,no,residential,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,young,3,self-employed,normal,none,distance,slight
18,monday,young,male,junior high,employee,novice,car,owner,unknown,unknown,other,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,rollover,2,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,lane change right,slight
18,monday,young,male,high school,employee,intermediate,car,owner,new,unknown,other,undivided,tangent grade,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,young,2,unknown,unknown,none,lane change left,slight
19,tuesday,young,male,junior high,owner,junior,car,owner,old,unknown,other,twoway broken lines,tangent flat,other,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,senior,3,self-employed,normal,none,improper exit,slight
19,tuesday,adult,male,junior high,employee,experienced,other,governmental,old,no,other,undivided,tangent flat,other,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,employee,normal,none,other,slight
11,saturday,senior,male,elementary,employee,intermediate,car,owner,used,no,other,double carriageway,tangent grade,no junction,asphalt,dry,daylight,normal,pedestrian,2,3,straight,driver,male,adult,3,other,normal,none,other,slight
11,saturday,adult,male,elementary,owner,experienced,car,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,3,straight,driver,male,adult,3,employee,normal,none,distance,slight
11,saturday,adult,male,junior high,employee,veteran,car,owner,used,unknown,church,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,2,3,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,priority violation,slight
11,saturday,young,unknown,junior high,employee,experienced,car,owner,old,unknown,other,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,3,straight,passenger,female,young,3,employee,normal,none,overtaking,slight
13,thursday,young,male,high school,employee,experienced,bus,organization,used,unknown,industrial,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,rollover,2,1,straight,driver,male,adult,3,unknown,unknown,none,pedestrian violation,slight
13,thursday,adult,male,junior high,employee,experienced,unknown,owner,unknown,no,residential,double carriageway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,employee,normal,none,distance,slight
12,tuesday,young,unknown,junior high,employee,veteran,car,governmental,aged,no,other,twoway broken lines,tangent flat,unknown,asphalt,wet,daylight,raining,vehicle,2,1,straight,unknown,unknown,unknown,unknown,employee,normal,none,lane change right,slight
12,tuesday,senior,male,junior high,unknown,junior,truck,owner,unknown,no,office,twoway broken lines,tangent flat,unknown,gravel,wet,daylight,raining,vehicle,2,1,straight,driver,male,young,3,employee,normal,none,careless,slight
12,friday,young,male,junior high,employee,intermediate,unknown,owner,unknown,no,industrial,unknown,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change right,slight
12,friday,adult,male,junior high,employee,junior,bus,owner,recent,no,industrial,double carriageway,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,overtaking,slight
16,sunday,adult,male,unknown,unknown,unknown,unknown,owner,unknown,no,other,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,roadside object,2,1,straight,driver,male,minor,3,student,normal,none,other,slight
16,sunday,adult,male,elementary,employee,experienced,bus,organization,aged,unknown,hospital,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane violation,slight
18,monday,unknown,female,junior high,employee,experienced,bus,owner,unknown,unknown,office,oneway,tangent flat,no junction,dirt,dry,daylight,normal,vehicle,2,1,straight,passenger,female,senior,3,self-employed,normal,none,high speed,slight
18,monday,adult,male,junior high,employee,veteran,car,owner,used,no,church,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,2,1,straight,passenger,female,adult,3,unknown,unknown,none,unknown,slight
13,thursday,adult,unknown,junior high,employee,intermediate,unknown,organization,old,no,hospital,undivided,tangent mountain,o shape,asphalt,dry,daylight,normal,roadside object,2,1,straight,passenger,female,adult,3,unknown,unknown,none,lane change right,slight
13,thursday,young,male,junior high,owner,veteran,car,owner,aged,no,office,other,tangent flat,o shape,unknown,dry,daylight,normal,vehicle,2,1,unknown,driver,male,young,3,driver,normal,none,distance,slight
13,wednesday,young,male,junior high,employee,intermediate,truck,owner,used,no,other,twoway broken lines,escarpment,no junction,gravel,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,other,slight
13,wednesday,adult,male,elementary,other,experienced,bus,owner,recent,unknown,office,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,young,3,driver,normal,none,priority violation,slight
18,monday,young,male,elementary,employee,experienced,truck,owner,used,unknown,office,twoway broken lines,tangent mountain,crossing,unknown,dry,lights,normal,vehicle,2,1,backward,passenger,male,young,3,driver,normal,none,lane change left,slight
18,monday,adult,male,junior high,unknown,experienced,car,owner,unknown,no,other,double carriageway,downhill,crossing,asphalt,dry,lights,normal,roadside object,2,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,pedestrian violation,slight
11,thursday,adult,male,junior high,employee,experienced,car,owner,recent,no,office,undivided,tangent grade,no junction,dirt,dry,daylight,normal,vehicle,1,4,straight,driver,male,young,3,driver,normal,none,overtaking,slight
11,thursday,adult,male,elementary,employee,veteran,car,owner,unknown,no,residential,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,4,straight,driver,male,senior,3,self-employed,normal,none,careless,slight
11,thursday,adult,male,junior high,unknown,novice,threewheeler,owner,unknown,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,4,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,priority violation,slight
11,thursday,adult,male,junior high,employee,experienced,bus,owner,used,unknown,office,double carriageway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,4,straight,driver,female,adult,3,self-employed,normal,none,pedestrian violation,slight
15,tuesday,senior,male,elementary,employee,junior,truck,owner,old,unknown,office,undivided,tangent mountain,no junction,asphalt,dry,daylight,normal,vehicle,1,1,rollover,pedestrian,male,adult,3,driver,normal,none,lane change right,serious
20,sunday,adult,male,junior high,employee,veteran,unknown,owner,old,no,other,twoway broken lines,tangent grade,y shape,dirt,dry,lights,normal,roadside object,2,1,straight,driver,female,young,3,self-employed,unknown,none,lane change right,slight
20,sunday,minor,male,high school,owner,intermediate,car,owner,unknown,no,church,undivided,tangent flat,y shape,asphalt,dry,lights,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,unknown,normal,none,lane change right,slight
18,wednesday,adult,male,junior high,employee,junior,truck,owner,unknown,no,industrial,undivided,tangent flat,crossing,asphalt,wet,lights,normal,pedestrian,2,1,straight,driver,female,adult,3,other,normal,none,lane change left,serious
18,wednesday,adult,male,junior high,employee,junior,truck,owner,recent,no,office,double carriageway,tangent flat,crossing,asphalt,wet,lights,normal,roadside object,2,1,straight,driver,male,young,2,driver,unknown,none,rollover,serious
15,sunday,senior,male,higher education,owner,intermediate,pickup,owner,unknown,no,church,undivided,tangent flat,unknown,asphalt,dry,daylight,normal,roadside object,1,2,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,careless,slight
15,sunday,senior,male,unknown,unknown,unknown,truck,owner,unknown,unknown,office,undivided,tangent flat,unknown,asphalt,dry,daylight,normal,vehicle,1,2,rollover,pedestrian,female,minor,3,driver,normal,none,distance,slight
23,wednesday,senior,unknown,elementary,owner,intermediate,car,owner,unknown,no,office,other,tangent flat,crossing,asphalt,dry,lights,normal,rollover,2,3,straight,driver,female,young,3,driver,unknown,none,careless,slight
23,wednesday,senior,male,junior high,employee,junior,other,owner,unknown,unknown,residential,twoway broken lines,tangent flat,crossing,asphalt,dry,lights,normal,vehicle,2,3,straight,unknown,unknown,unknown,unknown,unknown,normal,none,lane change left,slight
23,wednesday,adult,male,unknown,owner,experienced,other,owner,old,unknown,office,twoway broken lines,tangent flat,crossing,asphalt,dry,lights,normal,vehicle,2,3,backward,unknown,unknown,unknown,unknown,unknown,normal,none,priority violation,slight
7,monday,young,unknown,junior high,employee,novice,truck,owner,old,unknown,residential,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,adult,3,driver,normal,none,lane change right,serious
7,monday,young,male,junior high,employee,intermediate,unknown,owner,used,unknown,office,double carriageway,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,distance,serious
15,sunday,adult,male,junior high,employee,experienced,car,owner,used,no,office,double carriageway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,backward,driver,male,young,3,self-employed,normal,none,backward,fatal
15,sunday,adult,male,junior high,employee,veteran,truck,unknown,unknown,no,other,twoway broken lines,tangent flat,no junction,dirt,dry,daylight,normal,vehicle,2,1,straight,driver,male,adult,3,self-employed,normal,none,backward,fatal
15,monday,young,male,elementary,employee,intermediate,other,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,backward,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
15,monday,young,male,elementary,owner,veteran,truck,owner,aged,no,residential,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,backward,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
9,sunday,senior,male,junior high,employee,junior,car,owner,unknown,unknown,church,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,roadside object,2,1,straight,driver,male,young,3,unknown,unknown,none,distance,slight
9,sunday,senior,male,junior high,employee,experienced,pickup,governmental,unknown,no,church,double carriageway,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,pedestrian violation,slight
17,thursday,young,male,junior high,employee,intermediate,truck,owner,used,no,residential,double carriageway,tangent flat,y shape,other,dry,daylight,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,careless,slight
17,thursday,young,male,junior high,employee,intermediate,bus,owner,unknown,no,office,twoway broken lines,tangent grade,y shape,gravel,dry,daylight,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change right,slight
17,thursday,adult,male,junior high,employee,intermediate,truck,owner,old,no,office,twoway broken lines,tangent grade,y shape,gravel,dry,daylight,normal,vehicle,3,1,straight,driver,female,young,3,unknown,normal,none,lane change left,slight
20,sunday,young,unknown,junior high,employee,intermediate,car,owner,used,unknown,residential,twoway broken lines,tangent flat,no junction,asphalt,dry,lights,normal,pedestrian,2,1,straight,driver,male,adult,2,unknown,unknown,none,careless,slight
20,sunday,senior,male,junior high,employee,veteran,car,owner,old,unknown,church,other,tangent flat,no junction,asphalt,dry,lights,normal,vehicle,2,1,straight,driver,female,senior,3,driver,normal,none,careless,slight
21,thursday,young,male,junior high,employee,veteran,other,owner,unknown,unknown,other,twoway broken lines,tangent flat,y shape,dirt,dry,lights,normal,vehicle,2,2,straight,driver,female,adult,3,driver,normal,none,distance,slight
21,thursday,adult,male,elementary,employee,experienced,unknown,owner,unknown,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,lights,normal,vehicle,2,2,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,other,slight
19,monday,young,male,unknown,employee,unknown,truck,owner,unknown,unknown,other,twoway broken lines,tangent flat,y shape,asphalt,dry,lights,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change right,slight
19,monday,young,male,unknown,employee,intermediate,bus,owner,unknown,unknown,other,twoway broken lines,tangent flat,y shape,asphalt,dry,lights,normal,vehicle,2,1,straight,driver,male,adult,3,driver,normal,none,lane change right,slight
16,monday,young,male,elementary,employee,experienced,bus,owner,unknown,unknown,unknown,unknown,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,parked,driver,male,young,2,driver,normal,none,distance,slight
16,monday,senior,male,junior high,employee,experienced,other,governmental,used,unknown,residential,twoway broken lines,unknown,crossing,dirt,dry,daylight,normal,roadside object,2,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,distance,slight
15,monday,adult,unknown,junior high,employee,veteran,other,owner,new,unknown,church,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,1,1,straight,driver,male,young,2,driver,normal,none,rollover,slight
23,thursday,minor,male,junior high,employee,experienced,other,unknown,unknown,unknown,other,undivided,tangent flat,no junction,asphalt,dry,darkness,normal,vehicle,1,4,straight,unknown,unknown,unknown,unknown,driver,normal,none,high speed,serious
23,thursday,minor,male,junior high,employee,veteran,bus,owner,unknown,unknown,other,oneway,tangent flat,no junction,asphalt,dry,darkness,normal,vehicle,1,4,straight,driver,male,adult,2,self-employed,normal,none,priority violation,serious
23,thursday,minor,male,elementary,employee,novice,truck,owner,unknown,no,residential,twoway broken lines,tangent flat,no junction,asphalt,dry,darkness,normal,vehicle,1,4,straight,unknown,unknown,unknown,unknown,unknown,normal,none,pedestrian violation,serious
23,thursday,minor,male,elementary,employee,experienced,other,owner,unknown,unknown,office,oneway,tangent flat,no junction,asphalt,dry,darkness,normal,vehicle,1,4,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,priority violation,serious
20,monday,senior,male,elementary,employee,junior,bus,owner,unknown,no,industrial,twoway broken lines,tangent flat,y shape,asphalt,dry,darkness,normal,vehicle,3,1,rollover,unknown,unknown,unknown,unknown,driver,normal,none,other,slight
20,monday,adult,unknown,elementary,employee,experienced,other,governmental,unknown,no,residential,double carriageway,tangent flat,y shape,asphalt,dry,darkness,normal,vehicle,3,1,straight,driver,male,young,3,driver,normal,none,other,slight
20,monday,adult,male,elementary,employee,experienced,truck,owner,unknown,no,office,unknown,tangent flat,y shape,asphalt,dry,darkness,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,backward,slight
17,friday,young,male,elementary,employee,intermediate,other,owner,used,unknown,other,unknown,tangent flat,crossing,asphalt,dry,daylight,normal,rollover,2,1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,distance,slight
17,friday,adult,male,elementary,employee,experienced,other,owner,unknown,unknown,church,other,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,backward,driver,female,young,3,driver,normal,none,backward,slight
18,monday,adult,unknown,unknown,unknown,experienced,other,owner,aged,unknown,industrial,unknown,tangent flat,crossing,dirt,dry,daylight,normal,vehicle,1,1,straight,passenger,female,minor,3,self-employed,normal,none,priority violation,slight
17,friday,young,male,junior high,employee,veteran,pickup,owner,unknown,no,recreational,oneway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,1,backward,driver,male,young,3,self-employed,normal,none,careless,slight
1,saturday,unknown,female,junior high,employee,veteran,car,owner,unknown,no,market,undivided,tangent flat,crossing,asphalt,dry,lights,normal,roadside object,2,3,rollover,unknown,unknown,unknown,unknown,unknown,unknown,none,distance,slight
1,saturday,young,unknown,elementary,employee,novice,other,owner,unknown,no,other,twoway broken lines,tangent flat,crossing,asphalt,dry,lights,normal,vehicle,2,3,straight,unknown,unknown,unknown,unknown,unknown,normal,none,other,slight
1,saturday,young,male,elementary,employee,experienced,truck,owner,unknown,unknown,other,twoway broken lines,tangent flat,crossing,asphalt,dry,lights,normal,vehicle,2,3,straight,driver,male,young,3,driver,normal,none,lane change right,slight
1,saturday,young,male,elementary,owner,experienced,bus,owner,unknown,no,industrial,twoway broken lines,unknown,crossing,dirt,dry,lights,normal,vehicle,2,3,unknown,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
18,wednesday,adult,male,elementary,employee,intermediate,car,governmental,used,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,wet,lights,raining,roadside object,2,1,straight,driver,male,young,3,unknown,unknown,none,careless,slight
18,wednesday,young,male,elementary,employee,veteran,pickup,governmental,unknown,unknown,office,other,tangent flat,no junction,asphalt,wet,lights,raining,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
15,friday,young,male,elementary,employee,intermediate,truck,owner,unknown,unknown,unknown,other,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,3,1,straight,driver,female,senior,3,self-employed,normal,none,priority violation,slight
15,friday,adult,male,junior high,employee,veteran,bus,owner,unknown,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,lane change right,slight
15,friday,young,male,junior high,employee,novice,other,owner,unknown,unknown,office,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,3,1,backward,driver,male,young,2,self-employed,normal,none,pedestrian violation,slight
12,tuesday,young,male,junior high,employee,intermediate,truck,organization,unknown,unknown,other,other,tangent flat,other,asphalt,dry,daylight,normal,roadside object,1,1,straight,passenger,female,young,3,unknown,unknown,none,priority violation,serious
8,monday,minor,unknown,elementary,employee,experienced,pickup,governmental,used,unknown,other,other,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,senior,3,self-employed,normal,none,lane change left,slight
8,monday,senior,male,elementary,employee,experienced,other,owner,unknown,no,other,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,rollover,slight
